runtime,mean_consumption,frequency
892,2.3,600.0
797,2.65,700.0
729,2.87,800.0
673,3.1,900.0
601,3.34,1000.0
571,3.6,1100.0
497,3.89,1200.0
503,3.88,1300.0
453,3.87,1400.0
