runtime,mean_consumption,frequency
835,2.32,600.0
732,2.7,700.0
651,2.94,800.0
576,3.19,900.0
502,3.43,1000.0
461,3.68,1100.0
440,3.95,1200.0
479,3.84,1300.0
550,3.38,1400.0
