runtime,mean_consumption,frequency
707,2.26,600.0
640,2.62,700.0
573,2.85,800.0
523,3.08,900.0
499,3.32,1000.0
448,3.57,1100.0
440,3.81,1200.0
426,3.83,1300.0
412,3.85,1400.0
