runtime,mean_consumption,frequency
1226,2.3,600.0
1082,2.65,700.0
978,2.88,800.0
866,3.1,900.0
831,3.34,1000.0
696,3.59,1100.0
648,3.85,1200.0
610,3.88,1300.0
549,3.89,1400.0
